tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count
1/1/2020 5:54:28 AM,1/1/2020 5:58:41 AM,1
1/1/2020 5:57:13 AM,1/1/2020 5:58:05 AM,1
1/1/2020 5:36:31 AM,1/1/2020 5:37:23 AM,3
1/1/2020 5:23:15 AM,1/1/2020 5:23:54 AM,2
1/1/2020 5:13:39 AM,1/1/2020 5:24:26 AM,2
1/1/2020 5:18:16 AM,1/1/2020 5:18:42 AM,1
1/1/2020 9:44:29 AM,1/1/2020 9:44:36 AM,4
1/1/2020 5:44:29 AM,1/1/2020 5:47:34 AM,2
1/1/2020 5:42:44 AM,1/1/2020 5:44:24 AM,1
1/1/2020 5:21:30 AM,1/1/2020 5:29:12 AM,2
1/1/2020 5:21:10 AM,1/1/2020 5:22:39 AM,1
1/1/2020 5:13:40 AM,1/1/2020 5:31:14 AM,2
1/1/2020 5:21:37 AM,1/1/2020 5:27:07 AM,3
1/1/2020 5:34:49 AM,1/1/2020 5:57:39 AM,2
1/1/2020 5:48:57 AM,1/1/2020 5:52:37 AM,1
1/1/2020 5:38:08 AM,1/1/2020 5:39:21 AM,1
1/1/2020 5:26:07 AM,1/1/2020 5:31:29 AM,1
1/1/2020 5:49:08 AM,1/1/2020 5:52:54 AM,1
1/1/2020 5:44:31 AM,1/1/2020 5:45:05 AM,1
1/1/2020 5:46:56 AM,1/1/2020 5:59:16 AM,1
1/1/2020 5:18:30 AM,1/1/2020 5:21:27 AM,1
1/1/2020 4:26:25 AM,1/1/2020 4:27:57 AM,2
1/1/2020 5:30:31 AM,1/1/2020 5:30:46 AM,1
1/1/2020 5:18:58 AM,1/1/2020 5:30:53 AM,2
1/1/2020 5:58:01 AM,1/1/2020 6:02:39 AM,1
1/1/2020 5:10:44 AM,1/1/2020 5:18:38 AM,1
1/1/2020 5:10:30 AM,1/1/2020 5:24:14 AM,1
1/1/2020 5:28:04 AM,1/1/2020 5:34:33 AM,1
1/1/2020 5:40:30 AM,1/1/2020 5:45:02 AM,2
1/1/2020 5:08:13 AM,1/1/2020 5:08:27 AM,5
1/1/2020 5:26:04 AM,1/1/2020 5:27:18 AM,1
1/1/2020 5:55:09 AM,1/1/2020 5:59:11 AM,1
1/1/2020 5:01:42 AM,1/1/2020 5:05:13 AM,1
1/1/2020 5:48:19 AM,1/1/2020 6:01:58 AM,1
1/1/2020 5:35:41 AM,1/1/2020 5:46:53 AM,1
1/1/2020 5:50:28 AM,1/1/2020 5:50:34 AM,2
1/1/2020 5:17:45 AM,1/1/2020 5:20:55 AM,1
1/1/2020 5:30:14 AM,1/1/2020 5:35:15 AM,1
1/1/2020 5:14:15 AM,1/1/2020 5:26:39 AM,1
1/1/2020 6:00:29 AM,1/1/2020 6:03:50 AM,1
1/1/2020 5:06:51 AM,1/1/2020 5:21:09 AM,1
1/1/2020 5:40:30 AM,1/1/2020 5:58:36 AM,1
1/1/2020 5:16:32 AM,1/1/2020 5:28:26 AM,1
1/1/2020 5:04:53 AM,1/1/2020 5:26:25 AM,1
1/1/2020 5:28:41 AM,1/1/2020 5:34:01 AM,1
1/1/2020 5:18:21 AM,1/1/2020 5:18:59 AM,1
1/1/2020 5:14:34 AM,1/1/2020 5:15:49 AM,1
1/1/2020 5:24:37 AM,1/1/2020 5:31:19 AM,1
1/1/2020 5:41:11 AM,1/1/2020 5:48:14 AM,1
1/1/2020 5:41:11 AM,1/1/2020 5:48:14 AM,1
1/1/2020 5:00:46 AM,1/1/2020 5:19:33 AM,1
1/1/2020 5:34:05 AM,1/1/2020 5:51:26 AM,1
1/1/2020 5:17:43 AM,1/1/2020 5:21:58 AM,3
1/1/2020 5:15:23 AM,1/1/2020 5:18:06 AM,1
1/1/2020 5:45:27 AM,1/1/2020 5:52:00 AM,1
1/1/2020 5:59:37 AM,1/1/2020 6:05:42 AM,1
1/1/2020 6:50:04 AM,1/1/2020 6:53:55 AM,1
1/1/2020 5:44:55 AM,1/1/2020 5:51:10 AM,2
1/1/2020 6:53:34 AM,1/1/2020 6:54:17 AM,4
1/1/2020 6:09:09 AM,1/1/2020 6:15:19 AM,1
1/1/2020 6:08:41 AM,1/1/2020 6:08:47 AM,1
1/1/2020 5:59:08 AM,1/1/2020 6:00:41 AM,6
1/1/2020 6:48:39 AM,1/1/2020 6:49:33 AM,1
1/1/2020 6:41:49 AM,1/1/2020 6:43:56 AM,3
1/1/2020 6:04:30 AM,1/1/2020 6:08:36 AM,1
1/1/2020 6:10:41 AM,1/1/2020 6:16:31 AM,1
1/1/2020 6:53:18 AM,1/1/2020 6:54:23 AM,1
1/1/2020 6:50:19 AM,1/1/2020 7:01:27 AM,1
1/1/2020 6:16:49 AM,1/1/2020 6:39:30 AM,1
1/1/2020 6:18:56 AM,1/1/2020 6:20:47 AM,1
1/1/2020 6:08:14 AM,1/1/2020 6:10:14 AM,2
1/1/2020 6:35:35 AM,1/1/2020 6:44:55 AM,2
1/1/2020 6:26:20 AM,1/1/2020 6:46:16 AM,1
1/1/2020 6:50:41 AM,1/1/2020 7:34:05 AM,4
1/1/2020 6:52:47 AM,1/1/2020 7:17:25 AM,1
1/1/2020 6:07:04 AM,1/1/2020 6:24:01 AM,1
1/1/2020 6:01:54 AM,1/1/2020 6:10:17 AM,2
1/1/2020 5:55:08 AM,1/1/2020 5:56:11 AM,1
1/1/2020 6:42:35 AM,1/1/2020 6:44:33 AM,3
1/1/2020 6:41:32 AM,1/1/2020 6:43:05 AM,1
1/1/2020 6:40:36 AM,1/1/2020 6:42:14 AM,1
1/1/2020 6:41:28 AM,1/1/2020 7:12:02 AM,1
1/1/2020 6:53:01 AM,1/1/2020 6:54:42 AM,3
1/1/2020 6:35:06 AM,1/1/2020 6:40:59 AM,1
1/1/2020 6:59:01 AM,1/1/2020 7:00:53 AM,1
1/1/2020 6:30:10 AM,1/1/2020 6:37:37 AM,2
1/1/2020 6:56:28 AM,1/1/2020 7:01:32 AM,1
1/1/2020 6:13:50 AM,1/1/2020 6:14:59 AM,1
1/1/2020 6:47:22 AM,1/1/2020 6:49:50 AM,1
1/1/2020 6:58:07 AM,1/1/2020 7:01:48 AM,2
1/1/2020 6:08:15 AM,1/1/2020 6:15:04 AM,2
1/1/2020 6:08:11 AM,1/1/2020 6:09:04 AM,1
1/1/2020 6:42:54 AM,1/1/2020 6:56:40 AM,1
1/1/2020 6:17:27 AM,1/1/2020 6:27:36 AM,2
1/1/2020 6:58:44 AM,1/1/2020 7:02:23 AM,1
1/1/2020 6:58:44 AM,1/1/2020 6:59:50 AM,1
1/1/2020 6:05:05 AM,1/1/2020 6:11:14 AM,1
1/1/2020 6:00:07 AM,1/1/2020 6:21:36 AM,1
1/1/2020 6:33:10 AM,1/1/2020 7:06:57 AM,1
1/1/2020 6:26:05 AM,1/1/2020 6:31:33 AM,1
1/1/2020 6:34:22 AM,1/2/2020 5:34:56 AM,1
1/1/2020 6:05:34 AM,1/1/2020 6:05:58 AM,1
1/1/2020 6:02:45 AM,1/1/2020 6:12:55 AM,1
1/1/2020 6:11:25 AM,1/1/2020 6:12:02 AM,1
1/1/2020 6:33:25 AM,1/1/2020 6:35:28 AM,1
1/1/2020 6:33:07 AM,1/1/2020 6:34:11 AM,1
1/1/2020 7:14:34 AM,1/1/2020 7:14:58 AM,2
1/1/2020 7:16:26 AM,1/1/2020 7:22:04 AM,1
1/1/2020 7:59:50 AM,1/1/2020 8:00:22 AM,5
1/1/2020 7:05:37 AM,1/1/2020 7:19:43 AM,1
1/1/2020 5:22:33 AM,1/1/2020 5:28:55 AM,2
